Tag,Ort,Aktive_Faelle,Gesamt,Sieben_Tage_Inzidenz
2021-01-15,Aachen,955,15745,96
2021-01-14,Aachen,1077,15657,113
2021-01-13,Aachen,1028,15548,129
2021-01-12,Aachen,1114,15469,134
2021-01-11,Aachen,1366,15460,133
2021-01-08,Aachen,1413,15211,116
2021-01-07,Aachen,1272,15028,114
2021-01-06,Aachen,1319,14832,105
2021-01-05,Aachen,1473,14723,116
2021-01-04,Aachen,1581,14721,127
